Last name,First name,Primary email,School email,Student ID,Total (7),Participation total (5),Challenge total (2),Lab total (0),6.21 - Participation (1),6.22 - Participation (4),6.21 - Challenge (0),6.22 - Challenge (2)
Doe,John,jdoe001@fiu.edu,jdoe001@fiu.edu,1234567,71.43,100.0,0.0,0,100.0,100.0,N/A,0.0
Doe,Jane,jdoe002@fiu.edu,jdoe002@fiu.edu,2345678,0.0,0.0,0.0,0,0.0,0.0,N/A,0.0
Azuma,Goro,gazum001@fiu.edu,gazum001@fiu.edu,3456789,0.0,0.0,0.0,0,0.0,0.0,N/A,0.0
Smith,Jim,jsmit964@fiu.edu,jsmit964@fiu.edu,4567890,0.0,0.0,0.0,0,0.0,0.0,N/A,0.0
Hall,Thomas,thall025@fiu.edu,thall025@fiu.edu,5678901,0.0,0.0,0.0,0,0.0,0.0,N/A,0.0
Cickovski,Trevor,tcickovs@fiu.edu,tcickovs@fiu.edu,6789012,0.0,0.0,0.0,0,0.0,0.0,N/A,0.0
Floyd,Michael,mfloy235@fiu.edu,mfloy235@fiu.edu,7890123,0.0,0.0,0.0,0,0.0,0.0,N/A,0.0
Tate,Golden,gtate074@fiu.edu,gtate074@fiu.edu,8901234,71.43,100.0,0.0,0,100.0,100.0,N/A,0.0
Clausen,Jimmy,jclau003@fiu.edu,jclau003@fiu.edu,9012345,71.43,100.0,0.0,0,100.0,100.0,N/A,0.0
Rosenberg,Mark,mrose005@fiu.edu,mrose005@fiu.edu,9876543,71.43,100.0,0.0,0,100.0,100.0,N/A,0.0
Stone,Emma,eston794@fiu.edu,eston794@fiu.edu,8765432,0.0,0.0,0.0,0,0.0,0.0,N/A,0.0
TheCat,Pusheen,pusheen@fiu.edu,pusheen@fiu.edu,7654321,0.0,0.0,0.0,0,0.0,0.0,N/A,0.0
Torvalds,Linus,ltorv001@fiu.edu,ltorv001@fiu.edu,6543210,0.0,0.0,0.0,0,0.0,0.0,N/A,0.0
Windows,Microsoft,windoze@fiu.edu,windoze@fiu.edu,5432109,0.0,0.0,0.0,0,0.0,0.0,N/A,0.0
Turing,Alan,aturi001@fiu.edu,aturi001@fiu.edu,4321098,100.0,100.0,100.0,0,100.0,100.0,N/A,100.0
Peart,Neil,npear005@fiu.edu,npear005@fiu.edu,3210987,0.0,0.0,0.0,0,0.0,0.0,N/A,0.0
Mullen Jr,Larry,lmull001@fiu.edu,lmull001@fiu.edu,2109876,71.43,100.0,0.0,0,100.0,100.0,N/A,0.0
Carroll,Pete,carroll@fiu.edu,carroll@fiu.edu,1098765,0.0,0.0,0.0,0,0.0,0.0,N/A,0.0
Morris,Zack,zmorr193@fiu.edu,zmorr193@fiu.edu,0987654,0.0,0.0,0.0,0,0.0,0.0,N/A,0.0
The Grouch,Oscar,groucho@fiu.edu,groucho@fiu.edu,1357924,0.0,0.0,0.0,0,0.0,0.0,N/A,0.0
Marx,Karl,marxist@fiu.edu,marxist@fiu.edu,3579246,0.0,0.0,0.0,0,0.0,0.0,N/A,0.0
Bond,James,jbond007@fiu.edu,jbond007@fiu.edu,5792468,0.0,0.0,0.0,0,0.0,0.0,N/A,0.0
