Name,SID,Email,Total Score,Max Points,Status,Submission ID,Submission Time,Lateness (H:M:S),View Count,1.1: #1 (1.0 pts),1.2: #2 (1.0 pts),1.3: #3 (1.0 pts),1.4: #4 (1.0 pts),1.5: #5 (1.0 pts),1.6: #6 (1.0 pts),1.7: #7 (1.0 pts),1.8: #8 (1.0 pts),1.9: #9 (1.0 pts),1.10: #10 (1.0 pts),1.11: #11 (1.0 pts),1.12: #12 (1.0 pts),1.13: #13 (1.0 pts),1.14: #14 (1.0 pts),1.15: #15 (1.0 pts),2.1: Y (unsimplified) (10.0 pts),2.2: Y (simplified) (5.0 pts),2.3: Trace (10.0 pts),3.1: Walk (Boolean Expression) (15.0 pts),3.2: Flash (Boolean Expression) (15.0 pts),3.3: Walk (Circuit) (15.0 pts),3.4: Flash (Circuit) (15.0 pts),3.5: Extra Credit (5.0 pts)
Emma Stone,8765432,eston794@fiu.edu,99.0,105.0,Graded,31106575,2020-03-03 12:10:25 -0500,00:00:00,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0,10.0,15.0,15.0,15.0,15.0,5.0
Neil Peart,3210987,npear005@fiu.edu,92.0,105.0,Graded,31106576,2020-03-03 12:10:25 -0500,00:00:00,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.0,4.0,10.0,14.0,15.0,15.0,15.0,0.0
Karl Marx,3579246,marxist@fiu.edu,101.0,105.0,Graded,31106577,2020-03-03 12:10:25 -0500,00:00:00,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,9.0,4.0,10.0,15.0,15.0,15.0,15.0,5.0
Zack Morris,0987654,zmorr193@fiu.edu,101.0,105.0,Graded,31106578,2020-03-03 12:10:25 -0500,00:00:00,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,4.0,10.0,15.0,15.0,15.0,15.0,5.0
James Bond,5792468,jbond007@fiu.edu,88.0,105.0,Graded,31106579,2020-03-03 12:10:25 -0500,00:00:00,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,9.0,15.0,15.0,15.0,15.0,5.0
Michael Floyd,7890123,mfloy235@fiu.edu,103.0,105.0,Graded,31106580,2020-03-03 12:10:25 -0500,00:00:00,2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,4.0,10.0,15.0,15.0,15.0,15.0,5.0
Linux Torvalds,6543210,ltorv001@fiu.edu,91.0,105.0,Graded,31106581,2020-03-03 12:10:25 -0500,00:00:00,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,9.0,3.0,10.0,14.0,15.0,15.0,15.0,0.0
John Doe,1234567,jdoe001@fiu.edu,102.0,105.0,Graded,31106582,2020-03-03 12:10:25 -0500,00:00:00,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,4.0,10.0,15.0,15.0,15.0,15.0,5.0
Alan Turing,4321098,aturi001@fiu.edu,101.0,105.0,Graded,31106583,2020-03-03 12:10:25 -0500,00:00:00,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,2.0,10.0,15.0,15.0,15.0,15.0,5.0
Goro Azuma,3456789,gazum001@fiu.edu,104.0,105.0,Graded,31106584,2020-03-03 12:10:25 -0500,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,4.0,10.0,15.0,15.0,15.0,15.0,5.0
Pete Carroll,1098765,carroll@fiu.edu,103.0,105.0,Graded,31106585,2020-03-03 12:10:25 -0500,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,4.0,10.0,15.0,15.0,15.0,15.0,5.0
