Last name,First name,Primary email,School email,Student ID,Total (126),Participation total (94),Challenge total (32),Lab total (0),6.23 - Participation (22),6.24 - Participation (27),6.25 - Participation (4),6.26 - Participation (15),6.27 - Participation (11),6.28 - Participation (9),6.29 - Participation (6),6.23 - Challenge (10),6.24 - Challenge (5),6.25 - Challenge (2),6.26 - Challenge (5),6.27 - Challenge (6),6.28 - Challenge (2),6.29 - Challenge (2)
Doe,John,jdoe001@fiu.edu,jdoe001@fiu.edu,1234567,74.6,100.0,0.0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doe,Jane,jdoe002@fiu.edu,jdoe002@fiu.edu,2345678,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azuma,Goro,gazum001@fiu.edu,gazum001@fiu.edu,3456789,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smith,Jim,jsmit964@fiu.edu,jsmit964@fiu.edu,4567890,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hall,Thomas,thall025@fiu.edu,thall025@fiu.edu,5678901,19.05,14.89,31.25,0,63.64,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Cickovski,Trevor,tcickovs@fiu.edu,tcickovs@fiu.edu,6789012,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floyd,Michael,mfloy235@fiu.edu,mfloy235@fiu.edu,7890123,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tate,Golden,gtate074@fiu.edu,gtate074@fiu.edu,8901234,74.6,100.0,0.0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clausen,Jimmy,jclau003@fiu.edu,jclau003@fiu.edu,9012345,74.6,100.0,0.0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rosenberg,Mark,mrose005@fiu.edu,mrose005@fiu.edu,9876543,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stone,Emma,eston794@fiu.edu,eston794@fiu.edu,8765432,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TheCat,Pusheen,pusheen@fiu.edu,pusheen@fiu.edu,7654321,100.0,100.0,100.0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Torvalds,Linus,ltorv001@fiu.edu,ltorv001@fiu.edu,6543210,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Windows,Microsoft,windoze@fiu.edu,windoze@fiu.edu,5432109,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turing,Alan,aturi001@fiu.edu,aturi001@fiu.edu,4321098,100.0,100.0,100.0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Peart,Neil,npear005@fiu.edu,npear005@fiu.edu,3210987,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mullen Jr,Larry,lmull001@fiu.edu,lmull001@fiu.edu,2109876,52.38,70.21,0.0,0,100.0,100.0,100.0,86.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carroll,Pete,carroll@fiu.edu,carroll@fiu.edu,1098765,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morris,Zack,zmorr193@fiu.edu,zmorr193@fiu.edu,0987654,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Grouch,Oscar,groucho@fiu.edu,groucho@fiu.edu,1357924,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marx,Karl,marxist@fiu.edu,marxist@fiu.edu,3579246,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bond,James,jbond007@fiu.edu,jbond007@fiu.edu,5792468,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
